emotion,emotion_code,sentence,sentence_code,gender,type,speaker,filepath,filename,speaker_folder
drunk,1,This place is on fire. Please send help.,4,female,natural,10,data/raw/CUSTOM_DATASET/Speaker10/02_04_01_01_10.wav,02_04_01_01_10.wav,Speaker10
painful,2,We need an ambulance as soon as possible.,1,unknown,synthetic,10,data/raw/CUSTOM_DATASET/Speaker10/03_01_00_02_10.wav,03_01_00_02_10.wav,Speaker10
painful,2,We need an ambulance as soon as possible.,1,female,natural,10,data/raw/CUSTOM_DATASET/Speaker10/03_01_01_01_10.wav,03_01_01_01_10.wav,Speaker10
painful,2,Someone has been lying dead on the street.,2,unknown,synthetic,10,data/raw/CUSTOM_DATASET/Speaker10/03_02_00_02_10.wav,03_02_00_02_10.wav,Speaker10
painful,2,Someone has been lying dead on the street.,2,female,natural,10,data/raw/CUSTOM_DATASET/Speaker10/03_02_01_01_10.wav,03_02_01_01_10.wav,Speaker10
painful,2,A neighbor of mine is shot dead.,3,unknown,synthetic,10,data/raw/CUSTOM_DATASET/Speaker10/03_03_00_02_10.wav,03_03_00_02_10.wav,Speaker10
painful,2,A neighbor of mine is shot dead.,3,female,natural,10,data/raw/CUSTOM_DATASET/Speaker10/03_03_01_01_10.wav,03_03_01_01_10.wav,Speaker10
painful,2,This place is on fire. Please send help.,4,unknown,synthetic,10,data/raw/CUSTOM_DATASET/Speaker10/03_04_00_02_10.wav,03_04_00_02_10.wav,Speaker10
painful,2,This place is on fire. Please send help.,4,female,natural,10,data/raw/CUSTOM_DATASET/Speaker10/03_04_01_01_10.wav,03_04_01_01_10.wav,Speaker10
stressful,3,We need an ambulance as soon as possible.,1,unknown,synthetic,10,data/raw/CUSTOM_DATASET/Speaker10/04_01_00_02_10.wav,04_01_00_02_10.wav,Speaker10
stressful,3,We need an ambulance as soon as possible.,1,female,natural,10,data/raw/CUSTOM_DATASET/Speaker10/04_01_01_01_10.wav,04_01_01_01_10.wav,Speaker10
stressful,3,Someone has been lying dead on the street.,2,unknown,synthetic,10,data/raw/CUSTOM_DATASET/Speaker10/04_02_00_02_10.wav,04_02_00_02_10.wav,Speaker10
stressful,3,Someone has been lying dead on the street.,2,female,natural,10,data/raw/CUSTOM_DATASET/Speaker10/04_02_01_01_10.wav,04_02_01_01_10.wav,Speaker10
stressful,3,A neighbor of mine is shot dead.,3,unknown,synthetic,10,data/raw/CUSTOM_DATASET/Speaker10/04_03_00_02_10.wav,04_03_00_02_10.wav,Speaker10
stressful,3,A neighbor of mine is shot dead.,3,female,natural,10,data/raw/CUSTOM_DATASET/Speaker10/04_03_01_01_10.wav,04_03_01_01_10.wav,Speaker10
stressful,3,This place is on fire. Please send help.,4,unknown,synthetic,10,data/raw/CUSTOM_DATASET/Speaker10/04_04_00_02_10.wav,04_04_00_02_10.wav,Speaker10
stressful,3,This place is on fire. Please send help.,4,female,natural,10,data/raw/CUSTOM_DATASET/Speaker10/04_04_01_01_10.wav,04_04_01_01_10.wav,Speaker10
angry,0,Someone has been lying dead on the street.,2,male,natural,11,data/raw/CUSTOM_DATASET/Speaker11/01_02_02_01_11.wav,01_02_02_01_11.wav,Speaker11
angry,0,A neighbor of mine is shot dead.,3,male,natural,11,data/raw/CUSTOM_DATASET/Speaker11/01_03_02_01_11.wav,01_03_02_01_11.wav,Speaker11
angry,0,This place is on fire. Please send help.,4,male,natural,11,data/raw/CUSTOM_DATASET/Speaker11/01_04_02_01_11.wav,01_04_02_01_11.wav,Speaker11
drunk,1,We need an ambulance as soon as possible.,1,male,natural,11,data/raw/CUSTOM_DATASET/Speaker11/02_01_02_01_11.wav,02_01_02_01_11.wav,Speaker11
drunk,1,Someone has been lying dead on the street.,2,male,natural,11,data/raw/CUSTOM_DATASET/Speaker11/02_02_02_01_11.wav,02_02_02_01_11.wav,Speaker11
drunk,1,A neighbor of mine is shot dead.,3,male,natural,11,data/raw/CUSTOM_DATASET/Speaker11/02_03_02_01_11.wav,02_03_02_01_11.wav,Speaker11
drunk,1,This place is on fire. Please send help.,4,male,natural,11,data/raw/CUSTOM_DATASET/Speaker11/02_04_02_01_11.wav,02_04_02_01_11.wav,Speaker11
painful,2,Someone has been lying dead on the street.,2,male,natural,11,data/raw/CUSTOM_DATASET/Speaker11/03_02_02_01_11.wav,03_02_02_01_11.wav,Speaker11
painful,2,This place is on fire. Please send help.,4,male,natural,11,data/raw/CUSTOM_DATASET/Speaker11/03_04_02_01_11.wav,03_04_02_01_11.wav,Speaker11
stressful,3,Someone has been lying dead on the street.,2,male,natural,11,data/raw/CUSTOM_DATASET/Speaker11/04_02_02_01_11.wav,04_02_02_01_11.wav,Speaker11
stressful,3,A neighbor of mine is shot dead.,3,male,natural,11,data/raw/CUSTOM_DATASET/Speaker11/04_03_02_01_11.wav,04_03_02_01_11.wav,Speaker11
stressful,3,This place is on fire. Please send help.,4,male,natural,11,data/raw/CUSTOM_DATASET/Speaker11/04_04_02_01_11.wav,04_04_02_01_11.wav,Speaker11
angry,0,We need an ambulance as soon as possible.,1,male,natural,12,data/raw/CUSTOM_DATASET/Speaker12/01_01_02_01_12.wav,01_01_02_01_12.wav,Speaker12
angry,0,Someone has been lying dead on the street.,2,male,natural,12,data/raw/CUSTOM_DATASET/Speaker12/01_02_02_01_12.wav,01_02_02_01_12.wav,Speaker12
angry,0,A neighbor of mine is shot dead.,3,male,natural,12,data/raw/CUSTOM_DATASET/Speaker12/01_03_02_01_12.wav,01_03_02_01_12.wav,Speaker12
angry,0,This place is on fire. Please send help.,4,male,natural,12,data/raw/CUSTOM_DATASET/Speaker12/01_04_02_01_12.wav,01_04_02_01_12.wav,Speaker12
drunk,1,We need an ambulance as soon as possible.,1,male,natural,12,data/raw/CUSTOM_DATASET/Speaker12/02_01_02_01_12.wav,02_01_02_01_12.wav,Speaker12
drunk,1,Someone has been lying dead on the street.,2,male,natural,12,data/raw/CUSTOM_DATASET/Speaker12/02_02_02_01_12.wav,02_02_02_01_12.wav,Speaker12
drunk,1,A neighbor of mine is shot dead.,3,male,natural,12,data/raw/CUSTOM_DATASET/Speaker12/02_03_02_01_12.wav,02_03_02_01_12.wav,Speaker12
drunk,1,This place is on fire. Please send help.,4,male,natural,12,data/raw/CUSTOM_DATASET/Speaker12/02_04_02_01_12.wav,02_04_02_01_12.wav,Speaker12
painful,2,We need an ambulance as soon as possible.,1,male,natural,12,data/raw/CUSTOM_DATASET/Speaker12/03_01_02_01_12.wav,03_01_02_01_12.wav,Speaker12
painful,2,Someone has been lying dead on the street.,2,male,natural,12,data/raw/CUSTOM_DATASET/Speaker12/03_02_02_01_12.wav,03_02_02_01_12.wav,Speaker12
painful,2,A neighbor of mine is shot dead.,3,male,natural,12,data/raw/CUSTOM_DATASET/Speaker12/03_03_02_01_12.wav,03_03_02_01_12.wav,Speaker12
painful,2,This place is on fire. Please send help.,4,male,natural,12,data/raw/CUSTOM_DATASET/Speaker12/03_04_02_01_12.wav,03_04_02_01_12.wav,Speaker12
stressful,3,We need an ambulance as soon as possible.,1,male,natural,12,data/raw/CUSTOM_DATASET/Speaker12/04_01_02_01_12.wav,04_01_02_01_12.wav,Speaker12
stressful,3,Someone has been lying dead on the street.,2,male,natural,12,data/raw/CUSTOM_DATASET/Speaker12/04_02_02_01_12.wav,04_02_02_01_12.wav,Speaker12
stressful,3,A neighbor of mine is shot dead.,3,male,natural,12,data/raw/CUSTOM_DATASET/Speaker12/04_03_02_01_12.wav,04_03_02_01_12.wav,Speaker12
stressful,3,This place is on fire. Please send help.,4,male,natural,12,data/raw/CUSTOM_DATASET/Speaker12/04_04_02_01_12.wav,04_04_02_01_12.wav,Speaker12
angry,0,We need an ambulance as soon as possible.,1,unknown,synthetic,13,data/raw/CUSTOM_DATASET/Speaker13/01_01_00_02_13.wav,01_01_00_02_13.wav,Speaker13
angry,0,We need an ambulance as soon as possible.,1,male,natural,13,data/raw/CUSTOM_DATASET/Speaker13/01_01_02_01_13.wav,01_01_02_01_13.wav,Speaker13
angry,0,Someone has been lying dead on the street.,2,unknown,synthetic,13,data/raw/CUSTOM_DATASET/Speaker13/01_02_00_02_13.wav,01_02_00_02_13.wav,Speaker13
angry,0,Someone has been lying dead on the street.,2,male,natural,13,data/raw/CUSTOM_DATASET/Speaker13/01_02_02_01_13.wav,01_02_02_01_13.wav,Speaker13
angry,0,A neighbor of mine is shot dead.,3,unknown,synthetic,13,data/raw/CUSTOM_DATASET/Speaker13/01_03_00_02_13.wav,01_03_00_02_13.wav,Speaker13
angry,0,A neighbor of mine is shot dead.,3,male,natural,13,data/raw/CUSTOM_DATASET/Speaker13/01_03_02_01_13.wav,01_03_02_01_13.wav,Speaker13
angry,0,This place is on fire. Please send help.,4,unknown,synthetic,13,data/raw/CUSTOM_DATASET/Speaker13/01_04_00_02_13.wav,01_04_00_02_13.wav,Speaker13
angry,0,This place is on fire. Please send help.,4,male,natural,13,data/raw/CUSTOM_DATASET/Speaker13/01_04_02_01_13.wav,01_04_02_01_13.wav,Speaker13
drunk,1,We need an ambulance as soon as possible.,1,unknown,synthetic,13,data/raw/CUSTOM_DATASET/Speaker13/02_01_00_02_13.wav,02_01_00_02_13.wav,Speaker13
drunk,1,We need an ambulance as soon as possible.,1,male,natural,13,data/raw/CUSTOM_DATASET/Speaker13/02_01_02_01_13.wav,02_01_02_01_13.wav,Speaker13
drunk,1,Someone has been lying dead on the street.,2,unknown,synthetic,13,data/raw/CUSTOM_DATASET/Speaker13/02_02_00_02_13.wav,02_02_00_02_13.wav,Speaker13
drunk,1,Someone has been lying dead on the street.,2,male,natural,13,data/raw/CUSTOM_DATASET/Speaker13/02_02_02_01_13.wav,02_02_02_01_13.wav,Speaker13
drunk,1,A neighbor of mine is shot dead.,3,unknown,synthetic,13,data/raw/CUSTOM_DATASET/Speaker13/02_03_00_02_13.wav,02_03_00_02_13.wav,Speaker13
drunk,1,A neighbor of mine is shot dead.,3,male,natural,13,data/raw/CUSTOM_DATASET/Speaker13/02_03_02_01_13.wav,02_03_02_01_13.wav,Speaker13
drunk,1,This place is on fire. Please send help.,4,unknown,synthetic,13,data/raw/CUSTOM_DATASET/Speaker13/02_04_00_02_13.wav,02_04_00_02_13.wav,Speaker13
drunk,1,This place is on fire. Please send help.,4,male,natural,13,data/raw/CUSTOM_DATASET/Speaker13/02_04_02_01_13.wav,02_04_02_01_13.wav,Speaker13
painful,2,We need an ambulance as soon as possible.,1,unknown,synthetic,13,data/raw/CUSTOM_DATASET/Speaker13/03_01_00_02_13.wav,03_01_00_02_13.wav,Speaker13
painful,2,We need an ambulance as soon as possible.,1,male,natural,13,data/raw/CUSTOM_DATASET/Speaker13/03_01_02_01_13.wav,03_01_02_01_13.wav,Speaker13
painful,2,Someone has been lying dead on the street.,2,unknown,synthetic,13,data/raw/CUSTOM_DATASET/Speaker13/03_02_00_02_13.wav,03_02_00_02_13.wav,Speaker13
painful,2,Someone has been lying dead on the street.,2,male,natural,13,data/raw/CUSTOM_DATASET/Speaker13/03_02_02_01_13.wav,03_02_02_01_13.wav,Speaker13
painful,2,A neighbor of mine is shot dead.,3,unknown,synthetic,13,data/raw/CUSTOM_DATASET/Speaker13/03_03_00_02_13.wav,03_03_00_02_13.wav,Speaker13
painful,2,A neighbor of mine is shot dead.,3,male,natural,13,data/raw/CUSTOM_DATASET/Speaker13/03_03_02_01_13.wav,03_03_02_01_13.wav,Speaker13
painful,2,This place is on fire. Please send help.,4,unknown,synthetic,13,data/raw/CUSTOM_DATASET/Speaker13/03_04_00_02_13.wav,03_04_00_02_13.wav,Speaker13
painful,2,This place is on fire. Please send help.,4,male,natural,13,data/raw/CUSTOM_DATASET/Speaker13/03_04_02_01_13.wav,03_04_02_01_13.wav,Speaker13
stressful,3,We need an ambulance as soon as possible.,1,unknown,synthetic,13,data/raw/CUSTOM_DATASET/Speaker13/04_01_00_02_13.wav,04_01_00_02_13.wav,Speaker13
stressful,3,We need an ambulance as soon as possible.,1,male,natural,13,data/raw/CUSTOM_DATASET/Speaker13/04_01_02_01_13.wav,04_01_02_01_13.wav,Speaker13
stressful,3,Someone has been lying dead on the street.,2,unknown,synthetic,13,data/raw/CUSTOM_DATASET/Speaker13/04_02_00_02_13.wav,04_02_00_02_13.wav,Speaker13
stressful,3,Someone has been lying dead on the street.,2,male,natural,13,data/raw/CUSTOM_DATASET/Speaker13/04_02_02_01_13.wav,04_02_02_01_13.wav,Speaker13
stressful,3,A neighbor of mine is shot dead.,3,unknown,synthetic,13,data/raw/CUSTOM_DATASET/Speaker13/04_03_00_02_13.wav,04_03_00_02_13.wav,Speaker13
stressful,3,A neighbor of mine is shot dead.,3,male,natural,13,data/raw/CUSTOM_DATASET/Speaker13/04_03_02_01_13.wav,04_03_02_01_13.wav,Speaker13
stressful,3,This place is on fire. Please send help.,4,unknown,synthetic,13,data/raw/CUSTOM_DATASET/Speaker13/04_04_00_02_13.wav,04_04_00_02_13.wav,Speaker13
stressful,3,This place is on fire. Please send help.,4,male,natural,13,data/raw/CUSTOM_DATASET/Speaker13/04_04_02_01_13.wav,04_04_02_01_13.wav,Speaker13
angry,0,We need an ambulance as soon as possible.,1,female,natural,14,data/raw/CUSTOM_DATASET/Speaker14/01_01_01_01_14.wav,01_01_01_01_14.wav,Speaker14
angry,0,Someone has been lying dead on the street.,2,female,natural,14,data/raw/CUSTOM_DATASET/Speaker14/01_02_01_01_14.wav,01_02_01_01_14.wav,Speaker14
angry,0,A neighbor of mine is shot dead.,3,female,natural,14,data/raw/CUSTOM_DATASET/Speaker14/01_03_01_01_14.wav,01_03_01_01_14.wav,Speaker14
angry,0,This place is on fire. Please send help.,4,female,natural,14,data/raw/CUSTOM_DATASET/Speaker14/01_04_01_01_14.wav,01_04_01_01_14.wav,Speaker14
drunk,1,We need an ambulance as soon as possible.,1,female,natural,14,data/raw/CUSTOM_DATASET/Speaker14/02_01_01_01_14.wav,02_01_01_01_14.wav,Speaker14
drunk,1,Someone has been lying dead on the street.,2,female,natural,14,data/raw/CUSTOM_DATASET/Speaker14/02_02_01_01_14.wav,02_02_01_01_14.wav,Speaker14
drunk,1,A neighbor of mine is shot dead.,3,female,natural,14,data/raw/CUSTOM_DATASET/Speaker14/02_03_01_01_14.wav,02_03_01_01_14.wav,Speaker14
drunk,1,This place is on fire. Please send help.,4,female,natural,14,data/raw/CUSTOM_DATASET/Speaker14/02_04_01_01_14.wav,02_04_01_01_14.wav,Speaker14
painful,2,We need an ambulance as soon as possible.,1,female,natural,14,data/raw/CUSTOM_DATASET/Speaker14/03_01_01_01_14.wav,03_01_01_01_14.wav,Speaker14
painful,2,Someone has been lying dead on the street.,2,female,natural,14,data/raw/CUSTOM_DATASET/Speaker14/03_02_01_01_14.wav,03_02_01_01_14.wav,Speaker14
painful,2,A neighbor of mine is shot dead.,3,female,natural,14,data/raw/CUSTOM_DATASET/Speaker14/03_03_01_01_14.wav,03_03_01_01_14.wav,Speaker14
painful,2,This place is on fire. Please send help.,4,female,natural,14,data/raw/CUSTOM_DATASET/Speaker14/03_04_01_01_14.wav,03_04_01_01_14.wav,Speaker14
stressful,3,We need an ambulance as soon as possible.,1,female,natural,14,data/raw/CUSTOM_DATASET/Speaker14/04_01_01_01_14.wav,04_01_01_01_14.wav,Speaker14
stressful,3,Someone has been lying dead on the street.,2,female,natural,14,data/raw/CUSTOM_DATASET/Speaker14/04_02_01_01_14.wav,04_02_01_01_14.wav,Speaker14
stressful,3,A neighbor of mine is shot dead.,3,female,natural,14,data/raw/CUSTOM_DATASET/Speaker14/04_03_01_01_14.wav,04_03_01_01_14.wav,Speaker14
stressful,3,This place is on fire. Please send help.,4,female,natural,14,data/raw/CUSTOM_DATASET/Speaker14/04_04_01_01_14.wav,04_04_01_01_14.wav,Speaker14
angry,0,We need an ambulance as soon as possible.,1,female,natural,15,data/raw/CUSTOM_DATASET/Speaker15/01_01_01_01_15.wav,01_01_01_01_15.wav,Speaker15
angry,0,Someone has been lying dead on the street.,2,female,natural,15,data/raw/CUSTOM_DATASET/Speaker15/01_02_01_01_15.wav,01_02_01_01_15.wav,Speaker15
angry,0,A neighbor of mine is shot dead.,3,female,natural,15,data/raw/CUSTOM_DATASET/Speaker15/01_03_01_01_15.wav,01_03_01_01_15.wav,Speaker15
angry,0,This place is on fire. Please send help.,4,female,natural,15,data/raw/CUSTOM_DATASET/Speaker15/01_04_01_01_15.wav,01_04_01_01_15.wav,Speaker15
drunk,1,We need an ambulance as soon as possible.,1,female,natural,15,data/raw/CUSTOM_DATASET/Speaker15/02_01_01_01_15.wav,02_01_01_01_15.wav,Speaker15
drunk,1,Someone has been lying dead on the street.,2,female,natural,15,data/raw/CUSTOM_DATASET/Speaker15/02_02_01_01_15.wav,02_02_01_01_15.wav,Speaker15
drunk,1,A neighbor of mine is shot dead.,3,female,natural,15,data/raw/CUSTOM_DATASET/Speaker15/02_03_01_01_15.wav,02_03_01_01_15.wav,Speaker15
drunk,1,This place is on fire. Please send help.,4,female,natural,15,data/raw/CUSTOM_DATASET/Speaker15/02_04_01_01_15.wav,02_04_01_01_15.wav,Speaker15
painful,2,We need an ambulance as soon as possible.,1,female,natural,15,data/raw/CUSTOM_DATASET/Speaker15/03_01_01_01_15.wav,03_01_01_01_15.wav,Speaker15
painful,2,Someone has been lying dead on the street.,2,female,natural,15,data/raw/CUSTOM_DATASET/Speaker15/03_02_01_01_15.wav,03_02_01_01_15.wav,Speaker15
painful,2,A neighbor of mine is shot dead.,3,female,natural,15,data/raw/CUSTOM_DATASET/Speaker15/03_03_01_01_15.wav,03_03_01_01_15.wav,Speaker15
painful,2,This place is on fire. Please send help.,4,female,natural,15,data/raw/CUSTOM_DATASET/Speaker15/03_04_01_01_15.wav,03_04_01_01_15.wav,Speaker15
stressful,3,We need an ambulance as soon as possible.,1,female,natural,15,data/raw/CUSTOM_DATASET/Speaker15/04_01_01_01_15.wav,04_01_01_01_15.wav,Speaker15
stressful,3,Someone has been lying dead on the street.,2,female,natural,15,data/raw/CUSTOM_DATASET/Speaker15/04_02_01_01_15.wav,04_02_01_01_15.wav,Speaker15
stressful,3,A neighbor of mine is shot dead.,3,female,natural,15,data/raw/CUSTOM_DATASET/Speaker15/04_03_01_01_15.wav,04_03_01_01_15.wav,Speaker15
stressful,3,This place is on fire. Please send help.,4,female,natural,15,data/raw/CUSTOM_DATASET/Speaker15/04_04_01_01_15.wav,04_04_01_01_15.wav,Speaker15
angry,0,We need an ambulance as soon as possible.,1,male,natural,16,data/raw/CUSTOM_DATASET/Speaker16/01_01_02_01_16.wav,01_01_02_01_16.wav,Speaker16
angry,0,Someone has been lying dead on the street.,2,male,natural,16,data/raw/CUSTOM_DATASET/Speaker16/01_02_02_01_16.wav,01_02_02_01_16.wav,Speaker16
angry,0,A neighbor of mine is shot dead.,3,male,natural,16,data/raw/CUSTOM_DATASET/Speaker16/01_03_02_01_16.wav,01_03_02_01_16.wav,Speaker16
angry,0,This place is on fire. Please send help.,4,male,natural,16,data/raw/CUSTOM_DATASET/Speaker16/01_04_02_01_16.wav,01_04_02_01_16.wav,Speaker16
drunk,1,We need an ambulance as soon as possible.,1,male,natural,16,data/raw/CUSTOM_DATASET/Speaker16/02_01_02_01_16.wav,02_01_02_01_16.wav,Speaker16
drunk,1,Someone has been lying dead on the street.,2,male,natural,16,data/raw/CUSTOM_DATASET/Speaker16/02_02_02_01_16.wav,02_02_02_01_16.wav,Speaker16
drunk,1,A neighbor of mine is shot dead.,3,male,natural,16,data/raw/CUSTOM_DATASET/Speaker16/02_03_02_01_16.wav,02_03_02_01_16.wav,Speaker16
drunk,1,This place is on fire. Please send help.,4,male,natural,16,data/raw/CUSTOM_DATASET/Speaker16/02_04_02_01_16.wav,02_04_02_01_16.wav,Speaker16
painful,2,We need an ambulance as soon as possible.,1,male,natural,16,data/raw/CUSTOM_DATASET/Speaker16/03_01_02_01_16.wav,03_01_02_01_16.wav,Speaker16
painful,2,Someone has been lying dead on the street.,2,male,natural,16,data/raw/CUSTOM_DATASET/Speaker16/03_02_02_01_16.wav,03_02_02_01_16.wav,Speaker16
painful,2,A neighbor of mine is shot dead.,3,male,natural,16,data/raw/CUSTOM_DATASET/Speaker16/03_03_02_01_16.wav,03_03_02_01_16.wav,Speaker16
painful,2,This place is on fire. Please send help.,4,male,natural,16,data/raw/CUSTOM_DATASET/Speaker16/03_04_02_01_16.wav,03_04_02_01_16.wav,Speaker16
stressful,3,We need an ambulance as soon as possible.,1,male,natural,16,data/raw/CUSTOM_DATASET/Speaker16/04_01_02_01_16.wav,04_01_02_01_16.wav,Speaker16
stressful,3,Someone has been lying dead on the street.,2,male,natural,16,data/raw/CUSTOM_DATASET/Speaker16/04_02_02_01_16.wav,04_02_02_01_16.wav,Speaker16
stressful,3,A neighbor of mine is shot dead.,3,male,natural,16,data/raw/CUSTOM_DATASET/Speaker16/04_03_02_01_16.wav,04_03_02_01_16.wav,Speaker16
stressful,3,This place is on fire. Please send help.,4,male,natural,16,data/raw/CUSTOM_DATASET/Speaker16/04_04_02_01_16.wav,04_04_02_01_16.wav,Speaker16
angry,0,We need an ambulance as soon as possible.,1,male,natural,17,data/raw/CUSTOM_DATASET/Speaker17/01_01_02_01_17.wav,01_01_02_01_17.wav,Speaker17
angry,0,Someone has been lying dead on the street.,2,male,natural,17,data/raw/CUSTOM_DATASET/Speaker17/01_02_02_01_17.wav,01_02_02_01_17.wav,Speaker17
angry,0,A neighbor of mine is shot dead.,3,male,natural,17,data/raw/CUSTOM_DATASET/Speaker17/01_03_02_01_17.wav,01_03_02_01_17.wav,Speaker17
angry,0,This place is on fire. Please send help.,4,male,natural,17,data/raw/CUSTOM_DATASET/Speaker17/01_04_02_01_17.wav,01_04_02_01_17.wav,Speaker17
drunk,1,We need an ambulance as soon as possible.,1,male,natural,17,data/raw/CUSTOM_DATASET/Speaker17/02_01_02_01_17.wav,02_01_02_01_17.wav,Speaker17
drunk,1,Someone has been lying dead on the street.,2,male,natural,17,data/raw/CUSTOM_DATASET/Speaker17/02_02_02_01_17.wav,02_02_02_01_17.wav,Speaker17
drunk,1,A neighbor of mine is shot dead.,3,male,natural,17,data/raw/CUSTOM_DATASET/Speaker17/02_03_02_01_17.wav,02_03_02_01_17.wav,Speaker17
drunk,1,This place is on fire. Please send help.,4,male,natural,17,data/raw/CUSTOM_DATASET/Speaker17/02_04_02_01_17.wav,02_04_02_01_17.wav,Speaker17
painful,2,We need an ambulance as soon as possible.,1,male,natural,17,data/raw/CUSTOM_DATASET/Speaker17/03_01_02_01_17.wav,03_01_02_01_17.wav,Speaker17
painful,2,Someone has been lying dead on the street.,2,male,natural,17,data/raw/CUSTOM_DATASET/Speaker17/03_02_02_01_17.wav,03_02_02_01_17.wav,Speaker17
